"","HHSIZE","URBAN","[0-4]","(4,17]","(17,49]","(49,64]","(64,100]"
"30000007",3,1,0,0,1,0,2
"30000008",2,4,0,0,1,1,0
"30000012",1,1,0,0,1,0,0
"30000019",2,1,0,0,0,0,2
"30000029",2,1,0,0,0,0,2
"30000039",2,1,0,0,0,0,2
"30000041",2,1,0,0,2,0,0
"30000062",2,4,0,0,0,2,0
"30000082",4,1,2,0,2,0,0
"30000085",1,1,0,0,1,0,0
"30000089",4,4,2,0,2,0,0
"30000094",1,1,0,0,1,0,0
"30000095",1,1,0,0,0,0,1
"30000107",2,1,0,0,0,2,0
"30000128",2,1,0,0,2,0,0
"30000130",2,1,0,0,2,0,0
"30000137",3,1,0,0,1,2,0
"30000144",3,1,0,2,1,0,0
"30000145",2,1,0,0,0,2,0
"30000155",1,1,0,0,0,1,0
"30000161",3,1,0,0,0,1,2
"30000167",1,1,0,0,0,0,1
"30000194",6,1,0,3,2,0,1
"30000227",2,1,0,0,0,0,2
"30000230",1,4,0,0,0,1,0
"30000242",1,4,0,0,0,0,1
"30000262",2,1,0,0,0,2,0
"30000265",1,4,0,0,1,0,0
"30000266",1,1,0,0,1,0,0
"30000271",1,1,0,0,0,0,1
"30000288",1,1,0,0,0,0,1
"30000289",3,1,0,1,0,2,0
"30000301",2,1,0,0,0,1,1
"30000302",3,1,0,1,0,2,0
"30000308",1,4,0,0,0,1,0
"30000309",2,1,0,0,1,0,1
"30000312",4,1,1,1,2,0,0
"30000328",2,1,0,0,0,1,1
"30000341",3,1,0,0,2,1,0
"30000380",3,1,0,1,1,1,0
"30000400",2,1,0,0,1,1,0
"30000401",2,1,0,0,0,2,0
"30000402",2,4,0,0,0,0,2
"30000428",1,1,0,0,0,0,1
"30000434",2,4,0,0,0,0,2
"30000436",2,1,0,0,0,0,2
"30000439",4,4,0,0,2,2,0
"30000447",2,1,0,0,0,0,2
"30000449",1,1,0,0,0,0,1
"30000450",1,1,0,0,1,0,0
"30000451",2,1,0,0,0,2,0
"30000456",1,1,0,0,0,0,1
"30000463",2,1,0,0,2,0,0
"30000465",4,2,0,2,2,0,0
"30000473",1,1,0,0,0,0,1
"30000478",2,1,0,0,0,0,2
"30000482",1,1,0,0,0,1,0
"30000492",2,2,0,0,2,0,0
"30000496",2,1,0,0,0,1,1
"30000503",2,1,0,0,0,2,0
"30000518",2,1,0,0,0,1,1
"30000526",1,1,0,0,1,0,0
"30000539",1,1,0,0,1,0,0
"30000540",3,1,0,2,0,1,0
"30000545",2,1,0,0,0,1,1
"30000564",1,1,0,0,0,1,0
"30000580",1,4,0,0,0,1,0
"30000582",2,1,0,0,0,2,0
"30000586",1,1,0,0,0,1,0
"30000611",1,2,0,0,0,0,1
"30000616",2,1,0,0,2,0,0
"30000622",1,2,0,0,0,0,1
"30000646",1,2,0,0,0,1,0
"30000709",1,1,0,0,0,0,1
"30000710",2,1,0,0,0,1,1
"30000722",1,4,0,0,0,1,0
"30000736",1,1,0,0,0,0,1
"30000763",1,1,0,0,0,0,1
"30000770",1,1,0,0,0,1,0
"30000771",2,4,0,0,1,1,0
"30000775",2,1,0,0,0,0,2
"30000784",1,1,0,0,0,1,0
"30000814",3,1,0,1,2,0,0
"30000817",1,4,0,0,1,0,0
"30000828",1,4,0,0,0,0,1
"30000835",2,1,0,0,0,2,0
"30000840",3,1,0,1,2,0,0
"30000843",4,4,2,0,1,1,0
"30000847",4,1,1,1,2,0,0
"30000850",1,1,0,0,0,0,1
"30000854",2,1,0,0,0,2,0
"30000855",3,2,0,1,2,0,0
"30000860",2,1,0,0,0,0,2
"30000885",2,4,0,0,0,2,0
"30000898",3,2,1,0,2,0,0
"30000900",2,1,0,0,0,2,0
"30000922",2,2,0,0,0,0,2
"30000931",2,1,0,0,0,0,2
"30000934",3,4,0,1,2,0,0
"30000946",3,1,1,0,2,0,0
"30000960",4,1,2,0,2,0,0
"30000983",6,1,2,0,2,1,1
"30000990",4,1,0,2,2,0,0
"30000991",2,1,0,0,2,0,0
"30000993",2,1,0,0,0,1,1
"30001002",2,4,0,0,0,0,2
"30001005",1,2,0,0,0,0,1
"30001008",1,1,0,0,0,0,1
"30001011",2,1,0,0,0,0,2
"30001013",1,1,0,0,1,0,0
"30001015",2,4,0,0,0,0,2
"30001031",2,1,0,0,0,2,0
"30001039",1,1,0,0,0,1,0
"30001053",3,1,1,1,1,0,0
"30001054",2,2,0,0,0,2,0
"30001057",4,2,0,1,3,0,0
"30001064",4,1,1,0,1,2,0
"30001066",4,1,0,2,2,0,0
"30001067",1,2,0,0,0,0,1
