Hour postinfection,log(V(Day))
1,1.611435915
2,1.611435915
3,1.611435915
4,1.611435915
5,1.388791241
6,1.388791241
7,1.388791241
8,1.388791241
9,1.611435915
10,1.793424749
11,1.793424749
12,1.793424749
13,1.793424749
14,1.793424749
15,1.793424749
16,1.947337701
17,2.080690761
18,2.080690761
19,2.080690761
20,2.080690761
21,2.198335072
22,2.303584593
23,2.398803951
24,2.485739636
25,2.485739636
26,2.485739636
27,2.63977136
28,2.63977136
29,2.708716646
30,2.773213527
31,2.890927159
32,3.044998515
33,3.135928904
34,3.219275745
35,3.219275745
36,3.296207168
37,3.367640598
38,3.434309733
39,3.466048354
40,3.496810546
41,3.583796678
42,3.663818024
43,3.689129423
44,3.737907685
45,3.828858764
46,3.871409323
47,4.025530246
48,4.143293444
49,4.276804998
50,4.343935284
51,4.382151627
52,4.418961082
53,4.477450444
54,4.532707014
55,4.605270181
56,4.654055584
57,4.753676394
58,4.828393734
59,4.882877677
60,4.94883081
61,5.01734606
62,5.056309498
63,5.106006078
64,5.198552278
65,5.262742001
66,5.323058758
67,5.407216614
68,5.459628066
69,5.537373636
70,5.620437097
71,5.717060596
72,5.786928056
73,5.87495882
74,5.942825622
75,6.008837755
76,6.084522192
77,6.154879325
78,6.226556432
79,6.300804143
80,6.357859597
81,6.444147155
82,6.52504432
83,6.588940233
84,6.65545322
85,6.731030034
86,6.802405874
87,6.851195509
88,6.936352454
89,7.018410752
90,7.085072669
91,7.159299681
92,7.230570395
93,7.301154553
94,7.3620169
95,7.43071301
96,7.509888538
97,7.583252613
98,7.651600327
99,7.712000981
100,7.794003212
101,7.857484655
102,7.928049206
103,7.995309991
104,8.064010494
105,8.141192706
106,8.216361034
107,8.287530939
108,8.356322315
109,8.421345067
110,8.496380094
111,8.568838324
112,8.643122511
113,8.709796707
114,8.780789005
115,8.853523989
116,8.93234589
117,9.005897125
118,9.071883727
119,9.141419998
120,9.210041327
121,9.28089296
122,9.347839757
123,9.420521067
124,9.492281748
125,9.561209193
126,9.628064036
127,9.700024685
128,9.772581853
129,9.841931779
130,9.914427987
131,9.985851103
132,10.05633782
133,10.12679149
